source,nct_id,brief_title,overall_status,start_date,study_type,conditions
ClinicalTrials.gov API,NCT06178900,Evaluating AI-Gatekeeper Software in Coronary Artery Stenosis Screening: a Multicenter RCT,COMPLETED,2024-03-01,INTERVENTIONAL,Coronary Artery Disease; Diagnosis
ClinicalTrials.gov API,NCT05817110,Validating Artificial Intelligence Effectiveness Defined Lung Nodule Malignancy Score in Patients With Pulmonary Nodule.,ACTIVE_NOT_RECRUITING,2023-04-20,OBSERVATIONAL,Lung Malignancy
ClinicalTrials.gov API,NCT07513818,Implementing Low-dose ct Lung Cancer Screening in France.,RECRUITING,2026-05-11,INTERVENTIONAL,Lung Cancer
ClinicalTrials.gov API,NCT06098950,Human Algorithm Interactions for Acute Respiratory Failure Diagnosis,COMPLETED,2022-04-01,INTERVENTIONAL,Acute Respiratory Failure
ClinicalTrials.gov API,NCT04513717,"Two Studies for Patients With High Risk Prostate Cancer Testing Less Intense Treatment for Patients With a Low Gene Risk Score and Testing a More Intense Treatment for Patients With a High Gene Risk Score, The PREDICT-RT Trial",ACTIVE_NOT_RECRUITING,2021-01-21,INTERVENTIONAL,Prostate Adenocarcinoma; Stage III Prostate Cancer AJCC v8; Stage IVA Prostate Cancer AJCC v8
ClinicalTrials.gov API,NCT05987215,Interest of Using Deep Learning Algorithm for Otosclerosis Detection on Temporal Bone High Resolution CT,UNKNOWN,2022-07-01,OBSERVATIONAL,Otosclerosis
ClinicalTrials.gov API,NCT07001696,Combining Chest X-Ray and Arterial Blood Gas Findings to Predict Need for Mechanical Ventilation in Critically Ill Patients,RECRUITING,2025-06-01,OBSERVATIONAL,Respiratory Failure; Critical Illness; Mechanical Ventilation
ClinicalTrials.gov API,NCT05892380,The Clinical Value of an Artificial Intelligence System Using Abbreviated Protocol of Breast MRI Facilitates Classification of Breast Lessions,UNKNOWN,2023-07-01,OBSERVATIONAL,Breast Cancer
ClinicalTrials.gov API,NCT05187585,Assessment of the Contribution of an Artificial Intelligence Tool to Help the Diagnosis of Limb Fractures in Pediatric Emergencies,COMPLETED,2022-02-10,INTERVENTIONAL,"Fractures, Bone"
ClinicalTrials.gov API,NCT05984082,Checklist for AI in Medical Imaging (CLAIM) Consensus Panel,COMPLETED,2023-08-01,OBSERVATIONAL,Artificial Intelligence; Machine Learning; Diagnostic Imaging
ClinicalTrials.gov API,NCT07631507,A Study to Evaluate the Diagnostic Performance of Portable Oscillometry Across Chronic Respiratory Diseases,NOT_YET_RECRUITING,2026-07-30,OBSERVATIONAL,COPD; Asthma (Diagnosis); Chronic Respiratory Diseases; Bronchiectasis; Interstitial Lung Disease (ILD); Upper Airway Obstruction
ClinicalTrials.gov API,NCT07461714,AI-Driven Accurate Diagnosis of Pathogens in Severe Pneumonia,ACTIVE_NOT_RECRUITING,2025-09-18,OBSERVATIONAL,Severe Pneumonia
ClinicalTrials.gov API,NCT05440435,Application of Mobile DR in the Diagnosis of Bone Trauma in High Cold Environment,UNKNOWN,2022-01-01,OBSERVATIONAL,Bone Injury; Artificial Intelligence
ClinicalTrials.gov API,NCT07419568,Burden of Tuberculosis Among Pregnant and Postpartum Women in Guinea-Bissau,NOT_YET_RECRUITING,2026-02,INTERVENTIONAL,"Tuberculosis (TB); Tuberculosis Infection, Latent; Pregnancy; Tuberculosis Diagnosis; Maternal Health"
ClinicalTrials.gov API,NCT06783933,Artificial Intelligence-assisted Diagnosis,ACTIVE_NOT_RECRUITING,2025-01-15,OBSERVATIONAL,Congenital Heart Disease (CHD); Structural Heart Disease
ClinicalTrials.gov API,NCT06842043,AI-Assisted Chest X-Ray for Misplaced Endotracheal and Nasogastric Tubes and Pneumothorax in Emergency and Critical Care Settings,NOT_YET_RECRUITING,2026-04-01,INTERVENTIONAL,Endotracheal Tube; Nasogastric Tube; Pneumothorax
