source,source_file,frame,year,row_index,topic,measure_name,numeric_value
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,8,2020 | 32245820 | 32163113 | 1009019356 | 31.37 | 31.29 | 136453305358.0426 | 4243 | 4232 | 106549055576.0313 | 3313 | 3304 | 5158298533 | 23788552613 | 24396595 | 56,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_5,31.29
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,8,2020 | 32245820 | 32163113 | 1009019356 | 31.37 | 31.29 | 136453305358.0426 | 4243 | 4232 | 106549055576.0313 | 3313 | 3304 | 5158298533 | 23788552613 | 24396595 | 56,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_6,136453305358.0426
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,8,2020 | 32245820 | 32163113 | 1009019356 | 31.37 | 31.29 | 136453305358.0426 | 4243 | 4232 | 106549055576.0313 | 3313 | 3304 | 5158298533 | 23788552613 | 24396595 | 56,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_7,4243.0
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,8,2020 | 32245820 | 32163113 | 1009019356 | 31.37 | 31.29 | 136453305358.0426 | 4243 | 4232 | 106549055576.0313 | 3313 | 3304 | 5158298533 | 23788552613 | 24396595 | 56,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_8,4232.0
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,8,2020 | 32245820 | 32163113 | 1009019356 | 31.37 | 31.29 | 136453305358.0426 | 4243 | 4232 | 106549055576.0313 | 3313 | 3304 | 5158298533 | 23788552613 | 24396595 | 56,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_9,106549055576.0313
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,8,2020 | 32245820 | 32163113 | 1009019356 | 31.37 | 31.29 | 136453305358.0426 | 4243 | 4232 | 106549055576.0313 | 3313 | 3304 | 5158298533 | 23788552613 | 24396595 | 56,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_10,3313.0
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,8,2020 | 32245820 | 32163113 | 1009019356 | 31.37 | 31.29 | 136453305358.0426 | 4243 | 4232 | 106549055576.0313 | 3313 | 3304 | 5158298533 | 23788552613 | 24396595 | 56,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_11,3304.0
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,8,2020 | 32245820 | 32163113 | 1009019356 | 31.37 | 31.29 | 136453305358.0426 | 4243 | 4232 | 106549055576.0313 | 3313 | 3304 | 5158298533 | 23788552613 | 24396595 | 56,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_12,5158298533.0
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,8,2020 | 32245820 | 32163113 | 1009019356 | 31.37 | 31.29 | 136453305358.0426 | 4243 | 4232 | 106549055576.0313 | 3313 | 3304 | 5158298533 | 23788552613 | 24396595 | 56,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_13,23788552613.0
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,8,2020 | 32245820 | 32163113 | 1009019356 | 31.37 | 31.29 | 136453305358.0426 | 4243 | 4232 | 106549055576.0313 | 3313 | 3304 | 5158298533 | 23788552613 | 24396595 | 56,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_14,24396595.0
